Name;Didok-Nummer;geopos;lod
Bavois;8501113.0;46.681087533, 6.56732642975;http://lod.opentransportdata.swiss/didok/8501113
Bauma;8503134.0;47.3790000082, 8.89395937291;http://lod.opentransportdata.swiss/didok/8503134
Baden;8503504.0;47.4680908076, 8.29194539636;http://lod.opentransportdata.swiss/didok/8503504
Bäch;8503208.0;47.18976565, 8.70371190767;http://lod.opentransportdata.swiss/didok/8503208
Au ZH;8503205.0;47.2262626965, 8.65323408129;http://lod.opentransportdata.swiss/didok/8503205
Au SG;8506316.0;47.4276454168, 9.63818879646;http://lod.opentransportdata.swiss/didok/8506316
Muntelier-Löwenberg;8504140.0;46.9277903806, 7.14793832026;http://lod.opentransportdata.swiss/didok/8504140
Nieder- und Oberurnen;8503226.0;47.1016776074, 9.06983670873;http://lod.opentransportdata.swiss/didok/8503226
Nänikon-Greifensee;8503126.0;47.3545411364, 8.72273220924;http://lod.opentransportdata.swiss/didok/8503126
Näfels-Mollis;8503227.0;47.1016776074, 9.06983670873;http://lod.opentransportdata.swiss/didok/8503227
Niederhasli;8503314.0;47.4701942617, 8.49144444741;http://lod.opentransportdata.swiss/didok/8503314
Niederbipp;8500211.0;47.2675581305, 7.70474211828;http://lod.opentransportdata.swiss/didok/8500211
Mühlau;8502217.0;47.2360452693, 8.38997771711;http://lod.opentransportdata.swiss/didok/8502217
Moutier;8500105.0;47.2787563774, 7.36262446815;http://lod.opentransportdata.swiss/didok/8500105
Moudon;8504120.0;46.6733614518, 6.79181005795;http://lod.opentransportdata.swiss/didok/8504120
Montreux;8501300.0;;http://lod.opentransportdata.swiss/didok/8501300
Oberrieden Dorf;8502209.0;47.2738944957, 8.57269332011;http://lod.opentransportdata.swiss/didok/8502209
Niederweningen;8503319.0;47.504284451, 8.37615483266;http://lod.opentransportdata.swiss/didok/8503319
Ostermundigen;8507002.0;46.957205465, 7.49649237505;http://lod.opentransportdata.swiss/didok/8507002
Niederwangen;8504105.0;46.9056189406, 7.39874399407;http://lod.opentransportdata.swiss/didok/8504105
Oberrieden;8503203.0;47.2738944957, 8.57269332011;http://lod.opentransportdata.swiss/didok/8503203
Noiraigue;8504216.0;46.9256417519, 6.59838751217;http://lod.opentransportdata.swiss/didok/8504216
Oensingen;8500212.0;47.2893068803, 7.72365237132;http://lod.opentransportdata.swiss/didok/8500212
Oberrüti;8502219.0;47.1682671361, 8.39970904008;http://lod.opentransportdata.swiss/didok/8502219
Nottwil;8502008.0;47.1322197223, 8.14188270105;http://lod.opentransportdata.swiss/didok/8502008
Oppikon;8506185.0;47.5418828939, 9.09788007483;http://lod.opentransportdata.swiss/didok/8506185
Schaffhausen;8503424.0;47.722778094, 8.62587833047;http://lod.opentransportdata.swiss/didok/8503424
La Sarraz;8501108.0;46.6557932405, 6.50562449376;http://lod.opentransportdata.swiss/didok/8501108
Rüti GL;8503238.0;46.9284024802, 9.07907929418;http://lod.opentransportdata.swiss/didok/8503238
Sargans;8509411.0;47.0568992201, 9.4501110309;http://lod.opentransportdata.swiss/didok/8509411
Les Geneveys-sur-Coffrane;8504236.0;47.0603310326, 6.91396203545;http://lod.opentransportdata.swiss/didok/8504236
Glanzenberg;8503512.0;47.4033744108, 8.39933086639;http://lod.opentransportdata.swiss/didok/8503512
